id,name,description,price,image,category,sizes
sun7,Vintage Square Classics,,98.23,https://images.unsplash.com/photo-1563903530908-afdd155d057a?auto=format&fit=crop&q=80,Sunglasses,
sun8,Neon Shield Visor,,112.67,https://images.unsplash.com/photo-1555009893-f111e1141444?auto=format&fit=crop&q=80,Sunglasses,
sun9,Clear Frame Wayfarer,,109.49,https://images.unsplash.com/photo-1614715838608-dd527c46231d?auto=format&fit=crop&q=80,Sunglasses,
sun10,Minimalist Wire Teardrop,,54.54,https://images.unsplash.com/photo-1556306535-0f09a536f01f?auto=format&fit=crop&q=80,Sunglasses,
sun11,Chunky 90s Rectangular,,17.98,https://images.unsplash.com/photo-1509695507497-903c140c43b0?auto=format&fit=crop&q=80,Sunglasses,
sun12,Matte Black polarized,,24.36,https://images.unsplash.com/photo-1596541530919-5d6af7ffcaae?auto=format&fit=crop&q=80,Sunglasses,
sun13,Rose Gold Tinted Round,,76.87,https://images.unsplash.com/photo-1589110036662-7a242fdc6dfa?auto=format&fit=crop&q=80,Sunglasses,
sun14,Transparent Pink Cat Eye,,26.35,https://images.unsplash.com/photo-1625591338666-ac2d0bcbd8c4?auto=format&fit=crop&q=80,Sunglasses,
sun15,Polarized Sport Wrap,,59.29,https://images.unsplash.com/photo-1574258495973-f010dfbb5371?auto=format&fit=crop&q=80,Sunglasses,
sun16,Gradient Lens Octagon,,24.83,https://images.unsplash.com/photo-1589110001090-488f28c2ddb9?auto=format&fit=crop&q=80,Sunglasses,
sun17,Wooden Arm Browline,,88.31,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80,Sunglasses,
sun18,Rimless Floating Matrix,,51.97,https://images.unsplash.com/photo-1625591340157-1941e7dc60af?auto=format&fit=crop&q=80,Sunglasses,
sun19,Amber Tinted Pilots,,29.82,https://images.unsplash.com/photo-1578683533475-4cefd97b0a7c?auto=format&fit=crop&q=80,Sunglasses,
sun20,Tortoise Shell Keyhole,,29.37,https://images.unsplash.com/photo-1604118949826-6cd3554e4bdc?auto=format&fit=crop&q=80,Sunglasses,
sun21,Jet Black Thick Frame,,17.07,https://images.unsplash.com/photo-1589109968417-7a2489c6dffe?auto=format&fit=crop&q=80,Sunglasses,
sun22,Sunset Mirror Lenses,,69.54,https://images.unsplash.com/photo-1614866663595-5ff1ec792d24?auto=format&fit=crop&q=80,Sunglasses,
sun23,Classic Clubmaster Style,,86.15,https://images.unsplash.com/photo-1588610530514-432a5df03f7e?auto=format&fit=crop&q=80,Sunglasses,
sun24,Futuristic Slim Y2K,,56.53,https://images.unsplash.com/photo-1608231387042-66d1773070a5?auto=format&fit=crop&q=80,Sunglasses,
sun25,Aqua Blue Ocean Shades,,39.28,https://images.unsplash.com/photo-1584735175315-9d5df23860e6?auto=format&fit=crop&q=80,Sunglasses,
sun26,Ruby Red Translucent,,65.32,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&q=80,Sunglasses,
sun27,Emerald Green Eco Frame,,34.86,https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&q=80,Sunglasses,
sun28,Crimson Flat Top,,27.82,https://images.unsplash.com/photo-1605348532723-67c010a300dc?auto=format&fit=crop&q=80,Sunglasses,
sun29,Champagne Gold Aviator,,43.14,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&q=80,Sunglasses,
sun30,Midnight Blue Polarized,,46.44,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?auto=format&fit=crop&q=80,Sunglasses,
sun31,Pearl White Vintage,,105.89,https://images.unsplash.com/photo-1614715838608-dd527c46231d?auto=format&fit=crop&q=80,Sunglasses,
sun32,Gunmetal Semi-Rimless,,112.54,https://images.unsplash.com/photo-1580970678850-9ab01ba3e6a2?auto=format&fit=crop&q=80,Sunglasses,
sun33,Cobalt Square Gradient,,20.43,https://images.unsplash.com/photo-1611075486985-78e0ea52cd08?auto=format&fit=crop&q=80,Sunglasses,
sun34,Terracotta Havana Frame,,15.39,https://images.unsplash.com/photo-1599839619722-39751411ea63?auto=format&fit=crop&q=80,Sunglasses,
sun35,Lemon Yellow Retro,,101.11,https://images.unsplash.com/photo-1512353087810-254cb9859f6f?auto=format&fit=crop&q=80,Sunglasses,
sun36,Lilac Pastel Oversized,,24.78,https://images.unsplash.com/photo-1567083060012-706f23f8cb15?auto=format&fit=crop&q=80,Sunglasses,
sun37,Slate Gray Minimalist,,42.54,https://images.unsplash.com/photo-1592398555845-f9ca4930335e?auto=format&fit=crop&q=80,Sunglasses,
sun38,Silver Mirror Wraparounds,,80.18,https://images.unsplash.com/photo-1505322022379-7c3353ee6291?auto=format&fit=crop&q=80,Sunglasses,
sun39,Crystal Clear Hexagon,,33.85,https://images.unsplash.com/photo-1589110036128-090680d22080?auto=format&fit=crop&q=80,Sunglasses,
sun40,Burnt Orange Summer Tint,,56.08,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&q=80,Sunglasses,
w1,Chrono-Geometric,,12500,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&q=80,Watches,
w2,Stealth Aviator,,5500,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&q=80,Watches,
w3,Obsidian Core,,7200,https://images.unsplash.com/photo-1549998188-f2f2ac634ba1?auto=format&fit=crop&q=80,Watches,
w4,Vanguard Minimal,,4800,https://images.unsplash.com/photo-1548689816-c399f954f3dd?auto=format&fit=crop&q=80,Watches,
w5,Gold Standard,,18000,https://images.unsplash.com/photo-1587836374828-cb4387860956?auto=format&fit=crop&q=80,Watches,
w6,Silver Bullet,,6200,https://images.unsplash.com/photo-1623998021446-45cd9b269056?auto=format&fit=crop&q=80,Watches,
w7,Titanium Shift,,9500,https://images.unsplash.com/photo-1508685096489-73fb6df9eb09?auto=format&fit=crop&q=80,Watches,
w8,Carbon Eclipse,,8100,https://images.unsplash.com/photo-1585123334904-845d60e97b29?auto=format&fit=crop&q=80,Watches,
w9,Midnight Ocean,,4200,https://images.unsplash.com/photo-1542496658-e3266f07a5ea?auto=format&fit=crop&q=80,Watches,
w10,Rose Gradient,,10500,https://images.unsplash.com/photo-1596701037210-90c7cdfc7a4a?auto=format&fit=crop&q=80,Watches,
w11,Desert Sand,,3400,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&q=80,Watches,
w12,Ceramic Horizon,,12200,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&q=80,Watches,
w13,Lucid Flow,,5800,https://images.unsplash.com/photo-1549998188-f2f2ac634ba1?auto=format&fit=crop&q=80,Watches,
w14,Retrograde X,,15400,https://images.unsplash.com/photo-1548689816-c399f954f3dd?auto=format&fit=crop&q=80,Watches,
w15,Neon Flux,,2900,https://images.unsplash.com/photo-1587836374828-cb4387860956?auto=format&fit=crop&q=80,Watches,
w16,Platinum Prestige,,24000,https://images.unsplash.com/photo-1623998021446-45cd9b269056?auto=format&fit=crop&q=80,Watches,
w17,Bronze Mariner,,6700,https://images.unsplash.com/photo-1508685096489-73fb6df9eb09?auto=format&fit=crop&q=80,Watches,
w18,Copper Field,,3100,https://images.unsplash.com/photo-1585123334904-845d60e97b29?auto=format&fit=crop&q=80,Watches,
w19,Sapphire Gaze,,11000,https://images.unsplash.com/photo-1542496658-e3266f07a5ea?auto=format&fit=crop&q=80,Watches,
w20,Zenith Absolute,,32000,https://images.unsplash.com/photo-1596701037210-90c7cdfc7a4a?auto=format&fit=crop&q=80,Watches,
w21,UA-01 Explorer,,9500,https://images.unsplash.com/photo-1524805444758-089113d48a6d?auto=format&fit=crop&q=80,Watches,
w22,UA-02 Minimal,,4200,https://images.unsplash.com/photo-1594534475808-b18fc33b045e?auto=format&fit=crop&q=80,Watches,
w23,UA-03 Stealth,,11000,https://images.unsplash.com/photo-1542496658-e32689368832?auto=format&fit=crop&q=80,Watches,
w24,UA-04 Core,,6800,https://images.unsplash.com/photo-1622434641406-a158123450f9?auto=format&fit=crop&q=80,Watches,
w25,UA-05 Dual Time,,10400,https://images.unsplash.com/photo-1548171915-e7afaca00c14?auto=format&fit=crop&q=80,Watches,
w26,UA-06 Chrono,,12500,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?auto=format&fit=crop&q=80,Watches,
w27,UA-07 Racing,,14000,https://images.unsplash.com/photo-1587836374828-cb4387061d0b?auto=format&fit=crop&q=80,Watches,
w28,UA-08 Deep Sea,,8900,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?auto=format&fit=crop&q=80,Watches,
w29,UA-09 Vanguard,,21000,https://images.unsplash.com/photo-1517457788102-4fc88da0234c?auto=format&fit=crop&q=80,Watches,
w30,UA-10 Titanium,,11500,https://images.unsplash.com/photo-1509048191080-d2984bad6ae5?auto=format&fit=crop&q=80,Watches,
w31,UA-11 Carbon,,13200,https://images.unsplash.com/photo-1510563806283-ac6baf67104b?auto=format&fit=crop&q=80,Watches,
w32,UA-12 Orbit,,9200,https://images.unsplash.com/photo-1533139502658-0198f920d8ec?auto=format&fit=crop&q=80,Watches,
w33,UA-13 Velocity,,8400,https://images.unsplash.com/photo-1515562141207-7a8efb4088db?auto=format&fit=crop&q=80,Watches,
w34,UA-14 Pulse,,7100,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?auto=format&fit=crop&q=80,Watches,
w35,UA-15 Horizon,,15300,https://images.unsplash.com/photo-1549921203-b09e0bb64fc8?auto=format&fit=crop&q=80,Watches,
w36,UA-16 Eclipse,,18500,https://images.unsplash.com/photo-1557116857-e9a3b2b4dbba?auto=format&fit=crop&q=80,Watches,
w37,UA-17 Precision,,5400,https://images.unsplash.com/photo-1511370235399-1802cae1d32f?auto=format&fit=crop&q=80,Watches,
w38,UA-18 Zenith,,28000,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?auto=format&fit=crop&q=80,Watches,
w39,UA-19 Flux,,6200,https://images.unsplash.com/photo-1526045612212-70caf35c1ec1?auto=format&fit=crop&q=80,Watches,
w40,UA-20 Matrix,,9900,https://images.unsplash.com/photo-1606707764188-34ebdfb06f2c?auto=format&fit=crop&q=80,Watches,
w1,Top in Cream,"A soft, relaxed fit cream top in a breathable cotton-blend fabric, perfect for everyday lounging.",29.9,https://images.unsplash.com/photo-1434389670869-c8c8c5c7d13b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w2,Shirt in Olive,A comfortable olive ribbed shirt featuring an open zip-front design and cropped hem.,34.9,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&q=80,Women,XS|S|M|L
w3,Sweater in Beige,"Classic beige cropped sweater crafted from a fine knit, offering an elegant minimal silhouette.",34.9,https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&q=80,Women,S|M|L|XL
w4,Top in Black,"A sleek black square-neck bodysuit designed for a seamless, figure-hugging fit.",39.9,https://images.unsplash.com/photo-1550614000-4b95d8582ce0?auto=format&fit=crop&q=80,Women,XS|S|M|L
w5,Skirt in Dark Grey,A mid-length dark grey ribbed knit skirt featuring a subtle side slit for elegant mobility.,39.9,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?auto=format&fit=crop&q=80,Women,XS|S|M|L
w6,Top in Cream (Fitted),"Short sleeve fitted cream top in a stretchy modal blend, offering supreme comfort.",29.9,https://images.unsplash.com/photo-1618354691792-d1d42acfd860?auto=format&fit=crop&q=80,Women,S|M|L
w7,Trousers in Khaki,High-waisted khaki trousers with a wide-leg cut and tailored front seams.,59.9,https://images.unsplash.com/photo-1582533561751-0bfab4cb3e05?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w8,Sweater in Beige (Oversized),"An incredibly soft, oversized beige sweater dress perfect for cozy layering.",69.9,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80,Women,S|M|L
w9,Ribbed Cardigan in Oat,A versatile oat-colored ribbed cardigan featuring tortoiseshell buttons and a V-neckline.,49.9,https://images.unsplash.com/photo-1483985988355-763728e1935b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w10,Wide Leg Trousers in Cream,"Flowing wide-leg trousers in a soft cream linen blend, designed for airy summer days.",54.9,https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?auto=format&fit=crop&q=80,Women,XS|S|M|L
w11,Lounge Pants in Olive,Relaxed fit olive lounge pants with an elastic waist and premium heavyweight cotton.,44.9,https://images.unsplash.com/photo-1539008835657-9e8e9680c956?auto=format&fit=crop&q=80,Women,S|M|L|XL
w12,Scoop Neck Top in Taupe,A minimalist taupe top featuring a deep scoop neckline and seamless finish.,24.9,https://images.unsplash.com/photo-1551163943-3f6a855d1153?auto=format&fit=crop&q=80,Women,XS|S|M|L
w13,Maxi Dress in Black,"An elegant, floor-length black jersey dress with a subtle mock neck.",64.9,https://images.unsplash.com/photo-1469334031218-e382a71b716b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w14,Linen Shirt in White,"A classic unstructured white linen button-down shirt, perfect for layering.",49.9,https://images.unsplash.com/photo-1502716115624-b565e0990d9b?auto=format&fit=crop&q=80,Women,S|M|L
w15,V-Neck Sweater in Latte,A rich latte-colored v-neck sweater spun from a luxurious cashmere blend.,79.9,https://images.unsplash.com/photo-1532453288672-3a27e9be20d7?auto=format&fit=crop&q=80,Women,XS|S|M|L
w16,Tailored Blazer in Sand,"An oversized tailored blazer in a neutral sand hue, featuring structured shoulders.",119.9,https://images.unsplash.com/photo-1551232864-3f0890e580d9?auto=format&fit=crop&q=80,Women,XS|S|M|L
w17,Midi Skirt in Beige,"High-waisted beige midi skirt crafted from a structured, smooth fabric.",44.9,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w18,Crop Tank in Charcoal,Essential charcoal grey cropped ribbed tank designed for versatile styling.,19.9,https://images.unsplash.com/photo-1534069804107-5544d6538ec1?auto=format&fit=crop&q=80,Women,XS|S|M|L
w19,Bike Shorts in Mocha,High-performance ribbed bike shorts in a deep mocha brown shade.,29.9,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?auto=format&fit=crop&q=80,Women,S|M|L|XL
w20,Zip-Up Hoodie in Ash,"A premium ash-grey zip hoodie with a relaxed, boxy fit and dropped shoulders.",59.9,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&q=80,Women,XS|S|M|L
w21,Draped Top in Ivory,An elegant ivory top with subtle draping across the front neckline.,39.9,https://images.unsplash.com/photo-1485527691629-8e370684924c?auto=format&fit=crop&q=80,Women,XS|S|M|L
w22,Fleece Joggers in Cream,Ultra-soft cream joggers with a brushed fleece interior for maximum comfort.,49.9,https://images.unsplash.com/photo-1552374196-1ab2a1c593e8?auto=format&fit=crop&q=80,Women,S|M|L|XL
w23,Pleated Trousers in Stone,Sophisticated stone-colored trousers featuring sharp front pleats and a relaxed leg.,69.9,https://images.unsplash.com/photo-1445205170230-053b83016050?auto=format&fit=crop&q=80,Women,XS|S|M|L
w24,Turtleneck in Espresso,A slim-fit dark espresso turtleneck made from a stretchy rib knit.,34.9,https://images.unsplash.com/photo-1484399172022-72a90b12e3c1?auto=format&fit=crop&q=80,Women,XS|S|M|L
w25,Wrap Dress in Sage,"A highly versatile sage green wrap dress with a flowing, asymmetrical hem.",74.9,https://images.unsplash.com/photo-1505322022379-7c335300f80b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w26,Asymmetric Top in Black,"A modern, single-shoulder black top featuring a sleek asymmetric cut.",39.9,https://images.unsplash.com/photo-1500917293891-ef795e70e1f6?auto=format&fit=crop&q=80,Women,XS|S|M|L
w27,Puffer Vest in Taupe,"A minimalist cropped puffer vest in taupe, offering warmth without bulk.",79.9,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?auto=format&fit=crop&q=80,Women,S|M|L
w28,Mock Neck Sweater in Ivory,A classic ivory mock neck sweater in a mid-weight cotton blend.,44.9,https://images.unsplash.com/photo-1516762689617-e1cffcef479d?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w29,Satin Camisole in Champagne,A delicate champagne satin cami top featuring fine straps and a cowl neckline.,29.9,https://images.unsplash.com/photo-1434389670869-c8c8c5c7d13b?auto=format&fit=crop&q=80,Women,XS|S|M|L
w30,Wide Leg Denim in Washed Grey,"High-rise premium denim jeans featuring a relaxed, vintage washed grey finish.",89.9,https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&q=80,Women,24|25|26|27|28|29|30|31|32
w31,Knit Shorts in Beige,Comfortable high-waisted beige lounge shorts in a textured knit.,24.9,https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&q=80,Women,S|M|L
w32,Trench Coat in Camel,"A timeless, sweeping camel trench coat with a double-breasted closure and belt.",149.9,https://images.unsplash.com/photo-1550614000-4b95d8582ce0?auto=format&fit=crop&q=80,Women,XS|S|M|L
w33,Seamless Unitard in Black,"A high-performance black sports unitard with a sculpting, seamless fit.",54.9,https://images.unsplash.com/photo-1485968579580-b6d095142e6e?auto=format&fit=crop&q=80,Women,XS|S|M|L
w34,Boxy Tee in White,An essential heavyweight white cotton t-shirt with a contemporary boxy cut.,24.9,https://images.unsplash.com/photo-1618354691792-d1d42acfd860?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w35,Fitted Maxi Skirt in Cocoa,A sleek cocoa-brown maxi skirt tailored to elegantly trace the body.,49.9,https://images.unsplash.com/photo-1582533561751-0bfab4cb3e05?auto=format&fit=crop&q=80,Women,XS|S|M|L
w36,Lounge Bralette in Olive,"A wire-free, ultra-soft olive bralette designed for all-day comfort.",19.9,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&q=80,Women,XS|S|M|L
w37,Straight Leg Pants in Rust,A statement straight-leg trouser in a rich rust-red organic cotton.,64.9,https://images.unsplash.com/photo-1483985988355-763728e1935b?auto=format&fit=crop&q=80,Women,XS|S|M|L|XL
w38,Crewneck Sweatshirt in Navy,A vintage-inspired washed navy crewneck featuring subtle drop shoulders.,44.9,https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?auto=format&fit=crop&q=80,Women,S|M|L|XL
w39,Silk Slip Skirt in Silver,"A luxurious silver silk-satin slip skirt with an elasticated, hidden waistband.",89.9,https://images.unsplash.com/photo-1539008835657-9e8e9680c956?auto=format&fit=crop&q=80,Women,XS|S|M|L
w40,Half-Zip Pullover in Oatmeal,A casual ribbed oatmeal pullover top with a polished silver half-zip detail.,54.9,https://images.unsplash.com/photo-1551163943-3f6a855d1153?auto=format&fit=crop&q=80,Women,S|M|L|XL
